"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","25-Apr-2019","       2279.75","       2286.90","       2298.80","       2257.95","       2262.25","       2263.45","       2274.13","    4521659","         10282833886.80","     129865","    3059269","         67.66"
"HDFCBANK","EQ","26-Apr-2019","       2263.45","       2265.90","       2285.00","       2256.90","       2275.80","       2280.95","       2270.33","    2926892","          6645017406.00","     121538","    2070242","         70.73"
"HDFCBANK","EQ","30-Apr-2019","       2280.95","       2285.00","       2320.00","       2278.40","       2319.00","       2317.45","       2306.89","    3134209","          7230268668.80","     189638","    1946319","         62.10"
"HDFCBANK","EQ","02-May-2019","       2317.45","       2323.50","       2359.65","       2317.50","       2356.00","       2355.80","       2345.11","    4292325","         10065974310.35","     173788","    2770290","         64.54"
"HDFCBANK","EQ","03-May-2019","       2355.80","       2364.20","       2378.00","       2356.50","       2365.00","       2367.95","       2370.96","    3087880","          7321238483.25","      97641","    2009621","         65.08"
"HDFCBANK","EQ","06-May-2019","       2367.95","       2348.00","       2351.90","       2317.05","       2327.90","       2328.45","       2338.56","    3437023","          8037675313.80","     111177","    2333530","         67.89"
"HDFCBANK","EQ","07-May-2019","       2328.45","       2351.90","       2358.00","       2318.00","       2320.10","       2322.35","       2338.90","    2481051","          5802928079.35","     114540","    1326590","         53.47"
"HDFCBANK","EQ","08-May-2019","       2322.35","       2322.55","       2323.80","       2288.00","       2309.00","       2307.25","       2304.51","    3016052","          6950517705.45","     101965","    1942147","         64.39"
"HDFCBANK","EQ","09-May-2019","       2307.25","       2300.00","       2300.00","       2271.60","       2292.00","       2290.90","       2287.67","    2256931","          5163123992.15","     129719","    1470611","         65.16"
"HDFCBANK","EQ","10-May-2019","       2290.90","       2291.35","       2324.90","       2291.35","       2296.50","       2296.50","       2306.93","    2648550","          6110007945.30","      79307","    1542118","         58.22"
"HDFCBANK","EQ","13-May-2019","       2296.50","       2296.05","       2313.35","       2280.00","       2287.30","       2287.20","       2297.73","    2767908","          6359892195.65","     145875","    1652663","         59.71"
"HDFCBANK","EQ","14-May-2019","       2287.20","       2296.70","       2311.00","       2275.55","       2288.00","       2287.90","       2288.05","    2623686","          6003117740.95","     171946","    1599018","         60.95"
"HDFCBANK","EQ","15-May-2019","       2287.90","       2296.00","       2307.20","       2282.20","       2286.70","       2286.70","       2297.43","    2239087","          5144145077.95","     116090","    1491767","         66.62"
"HDFCBANK","EQ","16-May-2019","       2286.70","       2280.55","       2319.00","       2280.00","       2312.35","       2310.65","       2295.63","    2012534","          4620031311.50","      74658","    1362529","         67.70"
"HDFCBANK","EQ","17-May-2019","       2310.65","       2313.00","       2369.30","       2311.60","       2365.00","       2362.10","       2334.59","    3689695","          8613924843.95","     133531","    2409732","         65.31"
"HDFCBANK","EQ","20-May-2019","       2362.10","       2408.00","       2438.70","       2380.00","       2428.00","       2432.35","       2405.29","    4424908","         10643183585.25","     185496","    2520312","         56.96"
"HDFCBANK","EQ","21-May-2019","       2432.35","       2438.00","       2449.40","       2399.45","       2408.95","       2403.70","       2427.00","    2581294","          6264795861.40","     168751","    1406311","         54.48"
"HDFCBANK","EQ","22-May-2019","       2403.70","       2411.85","       2426.00","       2394.25","       2410.00","       2405.75","       2412.93","    2846665","          6868796572.40","     123668","    1745539","         61.32"
"HDFCBANK","EQ","23-May-2019","       2405.75","       2409.00","       2439.90","       2319.10","       2350.00","       2332.10","       2386.08","    8270499","         19734049083.55","     278878","    4999099","         60.44"
"HDFCBANK","EQ","24-May-2019","       2332.10","       2359.70","       2386.15","       2340.15","       2372.90","       2373.35","       2360.61","    3423200","          8080852966.20","     152871","    1979076","         57.81"
"HDFCBANK","EQ","27-May-2019","       2373.35","       2378.90","       2421.90","       2372.25","       2404.85","       2408.35","       2402.57","    3012256","          7237159256.05","     112244","    1926428","         63.95"
"HDFCBANK","EQ","28-May-2019","       2408.35","       2416.50","       2420.00","       2387.05","       2420.00","       2416.20","       2403.58","    1841210","          4425490417.80","      89218","     953903","         51.81"
"HDFCBANK","EQ","29-May-2019","       2416.20","       2410.20","       2430.80","       2410.20","       2418.00","       2416.90","       2421.30","    1868804","          4524931586.45","      90042","    1016105","         54.37"
"HDFCBANK","EQ","30-May-2019","       2416.90","       2416.00","       2447.90","       2413.05","       2440.00","       2439.55","       2435.84","    2339800","          5699376323.30","      89490","    1309509","         55.97"
"HDFCBANK","EQ","31-May-2019","       2439.55","       2456.80","       2465.00","       2356.80","       2426.00","       2425.35","       2436.13","    4946270","         12049738649.55","     192477","    2747731","         55.55"
"HDFCBANK","EQ","03-Jun-2019","       2425.35","       2427.00","       2459.80","       2424.95","       2454.00","       2457.10","       2447.39","    2120215","          5188982519.40","     119007","    1144855","         54.00"
"HDFCBANK","EQ","04-Jun-2019","       2457.10","       2455.00","       2465.75","       2441.05","       2455.00","       2452.30","       2454.96","    1610747","          3954324428.95","      82409","     831892","         51.65"
"HDFCBANK","EQ","06-Jun-2019","       2452.30","       2453.20","       2470.00","       2413.35","       2427.80","       2423.35","       2440.37","    3908731","          9538745245.25","     156152","    2798039","         71.58"
"HDFCBANK","EQ","07-Jun-2019","       2423.35","       2425.65","       2454.25","       2409.00","       2447.05","       2447.65","       2435.83","    1992733","          4853950962.80","     109779","    1067657","         53.58"
"HDFCBANK","EQ","10-Jun-2019","       2447.65","       2469.95","       2469.95","       2432.10","       2442.60","       2440.20","       2444.94","    1769285","          4325793963.60","     111556","     846619","         47.85"
"HDFCBANK","EQ","11-Jun-2019","       2440.20","       2451.50","       2459.90","       2440.35","       2446.50","       2448.40","       2449.47","    1775823","          4349821953.45","     114762","    1055368","         59.43"
"HDFCBANK","EQ","12-Jun-2019","       2448.40","       2445.00","       2448.40","       2423.65","       2430.80","       2427.05","       2432.41","    1827155","          4444391620.75","     100566","    1260698","         69.00"
"HDFCBANK","EQ","13-Jun-2019","       2427.05","       2435.95","       2452.00","       2415.95","       2443.00","       2444.70","       2429.67","    2776987","          6747153118.55","     116879","    1917518","         69.05"
"HDFCBANK","EQ","14-Jun-2019","       2444.70","       2442.95","       2458.95","       2425.00","       2433.80","       2435.10","       2443.97","    2989230","          7305595365.65","     108789","    2064787","         69.07"
"HDFCBANK","EQ","17-Jun-2019","       2435.10","       2435.00","       2439.90","       2417.30","       2422.00","       2422.00","       2427.31","    3202505","          7773466418.45","     119659","    2438391","         75.40"
"HDFCBANK","EQ","18-Jun-2019","       2422.00","       2418.00","       2432.00","       2404.00","       2418.00","       2417.25","       2416.67","    3104913","          7503537702.10","     149049","    1949262","         61.88"
"HDFCBANK","EQ","19-Jun-2019","       2417.25","       2427.00","       2444.90","       2416.70","       2435.45","       2428.35","       2431.33","    2686069","          6530717720.65","     118428","    1681891","         62.62"
"HDFCBANK","EQ","20-Jun-2019","       2428.35","       2428.35","       2437.00","       2414.60","       2425.70","       2426.35","       2428.38","    2792873","          6782150949.40","     129225","    1928319","         69.04"
