"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","24-Apr-2019","        396.50","        397.10","        402.65","        393.45","        401.60","        401.10","        397.78","   11397163","          4533610328.60","     143131","    5873939","         51.54"
"ICICIBANK","EQ","25-Apr-2019","        401.10","        400.90","        402.40","        394.30","        395.65","        395.40","        398.27","   16524091","          6581039961.40","     116341","    9211462","         55.75"
"ICICIBANK","EQ","26-Apr-2019","        395.40","        400.00","        408.00","        394.25","        407.20","        407.20","        402.32","   14286163","          5747563971.80","     132349","    5156104","         36.09"
"ICICIBANK","EQ","30-Apr-2019","        407.20","        407.75","        409.80","        403.30","        405.75","        407.50","        407.21","   19375553","          7889956795.35","     226795","    9182849","         47.39"
"ICICIBANK","EQ","02-May-2019","        407.50","        403.70","        405.00","        394.40","        394.75","        395.55","        399.85","   16572948","          6626740084.20","     190606","    7007278","         42.28"
"ICICIBANK","EQ","03-May-2019","        395.55","        397.15","        405.20","        394.70","        402.75","        401.80","        400.66","   24431248","          9788606916.70","     212947","   11814839","         48.36"
"ICICIBANK","EQ","06-May-2019","        401.80","        396.50","        404.90","        394.65","        401.80","        401.30","        400.54","   20751521","          8311728382.90","     158585","    6561764","         31.62"
"ICICIBANK","EQ","07-May-2019","        401.30","        398.00","        407.35","        384.30","        386.20","        386.50","        397.17","   41519416","         16490179115.40","     279913","   12560621","         30.25"
"ICICIBANK","EQ","08-May-2019","        386.50","        386.30","        390.00","        380.10","        382.40","        382.20","        384.93","   22509400","          8664635645.50","     220402","    8104302","         36.00"
"ICICIBANK","EQ","09-May-2019","        382.20","        380.95","        385.70","        377.55","        382.00","        381.40","        382.09","   19739885","          7542390728.75","     252857","    7510168","         38.05"
"ICICIBANK","EQ","10-May-2019","        381.40","        383.50","        389.20","        382.25","        383.65","        385.10","        385.98","   18361701","          7087276209.60","     147926","    7700101","         41.94"
"ICICIBANK","EQ","13-May-2019","        385.10","        385.00","        385.75","        375.25","        377.40","        376.30","        380.82","   13828080","          5266051878.70","     140044","    5744146","         41.54"
"ICICIBANK","EQ","14-May-2019","        376.30","        378.10","        386.75","        376.50","        381.50","        380.40","        382.41","   21481226","          8214663938.30","     181017","    9813797","         45.69"
"ICICIBANK","EQ","15-May-2019","        380.40","        382.35","        384.50","        375.80","        376.80","        377.05","        381.46","   16183425","          6173380127.75","     150965","    7830233","         48.38"
"ICICIBANK","EQ","16-May-2019","        377.05","        379.00","        385.00","        377.55","        382.95","        382.50","        380.92","   13430281","          5115876985.60","     105722","    6124585","         45.60"
"ICICIBANK","EQ","17-May-2019","        382.50","        381.20","        392.00","        380.75","        391.15","        389.70","        386.58","   19096980","          7382538891.45","     215267","    9504205","         49.77"
"ICICIBANK","EQ","20-May-2019","        389.70","        405.25","        414.00","        402.00","        408.25","        407.70","        409.17","   33350816","         13646075945.60","     259299","   17858206","         53.55"
"ICICIBANK","EQ","21-May-2019","        407.70","        408.60","        410.80","        397.60","        400.30","        400.15","        404.16","   18286421","          7390653909.15","     163681","    8285172","         45.31"
"ICICIBANK","EQ","22-May-2019","        400.15","        403.00","        408.40","        401.55","        405.40","        405.35","        406.02","   15370847","          6240850925.65","     158227","    5697524","         37.07"
"ICICIBANK","EQ","23-May-2019","        405.35","        414.00","        427.95","        407.40","        411.50","        410.85","        417.39","   43279956","         18064470981.55","     298790","   18815234","         43.47"
"ICICIBANK","EQ","24-May-2019","        410.85","        415.50","        433.55","        412.65","        432.50","        431.75","        424.41","   37708344","         16003750690.45","     229368","   22581012","         59.88"
