"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SUNPHARMA","EQ","25-Apr-2019","        469.35","        465.25","        474.60","        459.50","        463.25","        461.00","        465.36","    5244937","          2440765419.65","      64135"
"SUNPHARMA","EQ","26-Apr-2019","        461.00","        464.00","        469.40","        462.60","        463.50","        464.10","        465.22","    2903286","          1350675704.10","      44737"
"SUNPHARMA","EQ","30-Apr-2019","        464.10","        464.00","        464.00","        446.00","        455.60","        457.65","        454.40","    6586352","          2992829978.05","      83515"
"SUNPHARMA","EQ","02-May-2019","        457.65","        456.95","        461.70","        450.50","        452.50","        452.20","        456.18","    3732218","          1702555564.20","      76903"
"SUNPHARMA","EQ","03-May-2019","        452.20","        455.00","        456.20","        448.85","        452.45","        453.25","        452.25","    2585548","          1169317216.90","      54237"
"SUNPHARMA","EQ","06-May-2019","        453.25","        448.00","        455.90","        446.45","        452.55","        453.15","        452.73","    3104707","          1405587292.05","      54759"
"SUNPHARMA","EQ","07-May-2019","        453.15","        456.00","        456.00","        446.45","        447.25","        448.20","        451.60","    4189396","          1891915823.70","      60790"
"SUNPHARMA","EQ","08-May-2019","        448.20","        447.75","        449.85","        433.45","        436.00","        439.15","        440.90","    4885249","          2153903821.25","      74176"
"SUNPHARMA","EQ","09-May-2019","        439.15","        436.00","        442.70","        431.55","        439.25","        439.35","        437.60","    3550114","          1553525484.50","      57904"
"SUNPHARMA","EQ","10-May-2019","        439.35","        437.00","        442.65","        434.45","        437.65","        437.75","        438.38","    3482485","          1526655373.55","      62727"
"SUNPHARMA","EQ","13-May-2019","        437.75","        437.75","        437.75","        344.55","        414.00","        398.10","        401.07","   24079258","          9657555365.45","     260840"
"SUNPHARMA","EQ","14-May-2019","        398.10","        406.05","        424.50","        403.25","        420.50","        419.45","        413.29","   18797497","          7768770750.85","     222948"
"SUNPHARMA","EQ","15-May-2019","        419.45","        420.00","        424.50","        407.10","        411.00","        409.75","        415.66","    7581005","          3151082906.15","     101795"
"SUNPHARMA","EQ","16-May-2019","        409.75","        411.50","        419.60","        379.05","        412.15","        412.40","        399.89","   25156049","         10059672073.35","     279863"
"SUNPHARMA","EQ","17-May-2019","        412.40","        409.05","        416.00","        401.70","        409.60","        409.10","        407.30","    7747301","          3155512081.25","     131130"
"SUNPHARMA","EQ","20-May-2019","        409.10","        420.00","        429.00","        410.20","        414.20","        413.50","        414.93","    3809738","          1580786620.70","      53992"
"SUNPHARMA","EQ","21-May-2019","        413.50","        414.20","        423.75","        405.65","        408.60","        408.85","        414.89","    6228488","          2584147178.95","     100521"
"SUNPHARMA","EQ","22-May-2019","        408.85","        409.00","        423.55","        408.00","        423.00","        421.20","        419.02","    7277731","          3049539861.80","     124840"
"SUNPHARMA","EQ","23-May-2019","        421.20","        425.00","        427.00","        410.20","        413.45","        412.95","        419.00","    5906044","          2474659236.15","      97297"
"SUNPHARMA","EQ","24-May-2019","        412.95","        416.70","        418.00","        411.65","        416.40","        415.75","        415.02","    3010407","          1249377997.80","      56560"
"SUNPHARMA","EQ","27-May-2019","        415.75","        416.95","        421.50","        411.55","        414.50","        414.85","        415.95","    3886561","          1616614717.90","      52845"
"SUNPHARMA","EQ","28-May-2019","        414.85","        417.00","        420.50","        410.20","        414.50","        412.75","        414.91","    7987111","          3313934120.85","     110149"
"SUNPHARMA","EQ","29-May-2019","        412.75","        418.05","        427.80","        403.55","        422.05","        423.80","        417.51","   28086149","         11726190001.45","     287806"
"SUNPHARMA","EQ","30-May-2019","        423.80","        421.25","        422.70","        411.20","        412.90","        412.75","        415.40","    9082367","          3772814178.55","     101191"
"SUNPHARMA","EQ","31-May-2019","        412.75","        414.80","        417.10","        406.05","        410.65","        409.85","        411.34","    5643400","          2321383893.00","      75853"
"SUNPHARMA","EQ","03-Jun-2019","        409.85","        411.00","        418.60","        407.50","        417.00","        416.80","        414.73","    4611475","          1912528553.85","      56279"
"SUNPHARMA","EQ","04-Jun-2019","        416.80","        414.80","        417.90","        409.10","        411.25","        411.15","        413.26","    3279047","          1355109727.45","      66951"
