"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMTRDVR","EQ","25-Apr-2019","        108.15","        108.95","        109.75","        106.90","        107.05","        107.35","        108.07","    2384880","           257744433.30","      12454","     268157","         11.24"
"TATAMTRDVR","EQ","26-Apr-2019","        107.35","        107.25","        107.75","        103.25","        103.45","        103.90","        104.97","    3441205","           361225960.15","      19296","     969339","         28.17"
"TATAMTRDVR","EQ","30-Apr-2019","        103.90","        103.50","        104.75","        100.90","        102.10","        102.30","        102.36","    2155919","           220672900.50","      14467","     352885","         16.37"
"TATAMTRDVR","EQ","02-May-2019","        102.30","        100.60","        101.70","         98.75","         99.05","         99.20","        100.08","    2817323","           281957911.45","      17314","     668876","         23.74"
"TATAMTRDVR","EQ","03-May-2019","         99.20","         97.70","        103.10","         97.50","        100.30","        100.45","        101.43","    4485060","           454934096.20","      20641","     384678","          8.58"
"TATAMTRDVR","EQ","06-May-2019","        100.45","         98.95","         98.95","         95.00","         95.70","         95.70","         96.53","    3606700","           348145489.90","      19717","     762823","         21.15"
"TATAMTRDVR","EQ","07-May-2019","         95.70","         96.80","         97.25","         90.80","         91.00","         91.55","         93.88","    3536237","           331984090.35","      18856","     648482","         18.34"
"TATAMTRDVR","EQ","08-May-2019","         91.55","         91.25","         91.35","         88.30","         88.60","         88.75","         89.65","    3224574","           289094472.90","      16958","     537370","         16.66"
"TATAMTRDVR","EQ","09-May-2019","         88.75","         88.45","         90.30","         87.20","         88.65","         88.60","         88.65","    3564456","           315986966.10","      16905","     592501","         16.62"
"TATAMTRDVR","EQ","10-May-2019","         88.60","         88.65","         90.40","         87.95","         89.00","         89.35","         89.51","    4051558","           362666810.80","      16143","    1394779","         34.43"
"TATAMTRDVR","EQ","13-May-2019","         89.35","         89.00","         89.35","         84.75","         85.25","         85.25","         86.69","    2723305","           236095340.40","      17744","     750712","         27.57"
"TATAMTRDVR","EQ","14-May-2019","         85.25","         83.90","         87.15","         83.30","         86.65","         86.30","         85.69","    3730097","           319616332.40","      18162","     934304","         25.05"
"TATAMTRDVR","EQ","15-May-2019","         86.30","         86.65","         87.10","         80.40","         81.20","         80.90","         82.64","    4226497","           349281056.85","      21727","    1250651","         29.59"
"TATAMTRDVR","EQ","16-May-2019","         80.90","         83.00","         84.25","         81.70","         82.85","         82.85","         82.75","    3711604","           307140932.35","      17573","     792901","         21.36"
"TATAMTRDVR","EQ","17-May-2019","         82.85","         82.85","         83.50","         80.75","         83.20","         83.20","         82.21","    1914341","           157369720.25","      11483","     436996","         22.83"
"TATAMTRDVR","EQ","20-May-2019","         83.20","         85.50","         89.70","         84.00","         88.30","         88.85","         87.14","    5278663","           459975204.80","      24911","    1750305","         33.16"
"TATAMTRDVR","EQ","21-May-2019","         88.85","         88.75","         88.80","         82.30","         83.45","         83.15","         84.75","    8324178","           705495876.05","      38415","    2393176","         28.75"
"TATAMTRDVR","EQ","22-May-2019","         83.15","         83.50","         85.95","         82.95","         85.55","         85.40","         84.52","    3005049","           254000264.25","      12438","     681082","         22.66"
"TATAMTRDVR","EQ","23-May-2019","         85.40","         87.00","         87.10","         84.05","         84.90","         84.85","         85.60","    4887593","           418358836.45","      16313","    1655436","         33.87"
"TATAMTRDVR","EQ","24-May-2019","         84.85","         85.25","         87.25","         84.60","         87.10","         86.85","         86.18","    3386944","           291876701.20","      14138","    1136936","         33.57"
"TATAMTRDVR","EQ","27-May-2019","         86.85","         87.10","         87.95","         86.30","         87.20","         87.20","         87.16","    1932242","           168416700.25","       8051","     443155","         22.93"
"TATAMTRDVR","EQ","28-May-2019","         87.20","         87.75","         89.35","         87.05","         87.75","         87.85","         88.10","    2844161","           250584127.55","      11783","     891432","         31.34"
"TATAMTRDVR","EQ","29-May-2019","         87.85","         87.50","         87.50","         84.70","         85.30","         85.35","         85.52","    2637003","           225525087.45","      11189","     684261","         25.95"
"TATAMTRDVR","EQ","30-May-2019","         85.35","         85.45","         86.15","         84.05","         84.75","         84.75","         85.27","    2846741","           242730985.75","      18449","     877216","         30.81"
"TATAMTRDVR","EQ","31-May-2019","         84.75","         85.15","         86.10","         82.85","         84.30","         83.95","         84.37","    2508298","           211623939.10","      13456","     778044","         31.02"
"TATAMTRDVR","EQ","03-Jun-2019","         83.95","         83.45","         85.40","         81.65","         85.25","         84.95","         83.88","    2835529","           237855283.30","      13071","     817406","         28.83"
"TATAMTRDVR","EQ","04-Jun-2019","         84.95","         84.25","         86.65","         84.25","         85.40","         85.70","         85.53","    2941267","           251553888.75","      12337","     986013","         33.52"
"TATAMTRDVR","EQ","06-Jun-2019","         85.70","         85.95","         86.35","         81.75","         82.30","         82.10","         83.57","    2451975","           204903413.40","      14188","     694061","         28.31"
